Area,Decision to Make,Options (short),Current Recommendation,Owner,Status,Due Date,Impacted Outputs,Notes/Links
Culture Set (9),Confirm final nine cultures,"Greek,Norse,Chinese,Egyptian,Celtic,Mesoamerican,Japanese,Hindu,Mesopotamian",Approve/Swap as needed,M,Open,,"Site, OpenSea, VR, JSON",
License Model,Pick license & URL,All rights reserved; Limited commercial; CC BY-NC; Custom,Custom limited commercial (draft),M,Open,,"All platforms, JSON",/license
Attribute Order,Lock trait order,See schema v1.1 order,Adopt schema v1.1,M,Open,,OpenSea/Foundation/Rarible,
Edition Logic,Per series supply rules,1/1 Icon; Small runs; Open,Icon 1/1 + small runs,M,Open,,"Site, JSON",
Unlockables,Choose types per tier,VR entry; Certificate; Process film,VR + Certificate + Film (tiered),M,Open,,"Marketplaces, VR",
VR Gate,Access method,Wallet-gated page; Platform unlockables,Wallet-gated private page,M,Open,,"VR, Site",
Media Specs,Master + upload sizes,Poster <= 20MB; Video <= 100MB,Keep under platform limits,M,Open,,"Marketplaces, Site",
Alt Text Policy,Auto vs override,Template; Manual override,Template + override field,M,Open,,"Site, Accessibility",
Descriptions,Character limits,Coll: ≤500; Item: ≤800,Adopt house limits,M,Open,,All platforms,
Campbell Quotes,Select exact lines,Hero/p.3; Monomyth; Venture,Curated short quotes,M,Open,,"White paper, Site",
Homepage Hero,Pick version,A) Preservation; B) Campbell,TBD,M,Open,,Site,
Contract Standard,ERC-721 vs 1155,721; 1155; mixed,TBD,M,Open,,JSON/chain,
Operator Filter,Marketplace policy,On; Off; Notes,TBD,M,Open,,Marketplaces,
Pricing,Currency format,ETH; MATIC; GBP/ETH note,TBD,M,Open,,Marketplaces,
Chain,Primary chain,ETH; Polygon; Base; Other,TBD,M,Open,,JSON/Marketplaces,
External URL Base,Site page base URL,https://godsheroesmyths.com/art/...,Set in Control tab,M,Open,,Site/JSON,
IPFS Gateway,Public gateway base,ipfs://; https://gateway.pinata.cloud/ipfs/,Set in Control tab,M,Open,,JSON,
Naming,Item name pattern,Culture—Series—Work(Tag)—Palette—Edition,Adopt,M,Open,,All,
Slug Pattern,URL slugs,lower-hyphen,Adopt,M,Open,,Site,
Symbols List,How many per work,2–5,Adopt,M,Open,,"VR, SEO",
Meaning Line,≤140 chars style,"Plain, museum-label",Adopt,M,Open,,All,
Myth Scene,1-line scene style,Action + object,Adopt,M,Open,,All,
Per-culture Briefs,Style briefs per culture,Use one-page template,Provide for all nine,M,Open,,Everywhere,
Palette Names,Canonical variants,Bronze v3; Ash; Jade; etc.,Confirm,M,Open,,Traits,
Frame Styles,Canonical frames,Laurel; Iron; Lacquer; etc.,Confirm,M,Open,,Traits,
Materials Trait,Surface or keep internal,Show; Hide,Show selectively,M,Open,,Traits,
Languages,Localization scope,EN; zh-Hans; later…,EN + zh-Hans,M,Open,,Site,
Exports,Per-platform outputs,OpenSea CSV/JSON; Foundation; Rarible,Build formula tabs,M,Open,,Ops,
JSON Generation,Source of truth,Sheet builds JSON; no hand edit,Adopt,M,Open,,Ops,
Unlockable Delivery,Distribution flow,Token-gated page; Email; IPFS,Token-gated page,M,Open,,"VR, Site",
Security Policy,What’s on/off chain,Media on IPFS; secrets off-chain,Adopt,M,Open,,Trust,
Roadmap Milestones,Public visibility,Quarterly checkpoints,Draft & post,M,Open,,"Site, White paper",
